編號,客家語,客語標音,華語詞義,例句,翻譯,備註,詞性1,詞性2,分類
2-71,笑笑仔,siauˇ siauˇ er,微笑,"先生笑笑仔摎佢講話。
佢兜兩儕見面，斯笑笑仔無講話。","老師微笑著和他說話。
他們兩人見面，只微笑不說話。",,動詞,,2心理活動與感覺
2-72,愁慮,seu li+,憂愁、煩惱,細人大咧，毋使恁愁慮。,小孩子長大了，不用那麼憂愁。,,動詞,,2心理活動與感覺
2-73,思考,siiˋ kauˊ ,思考,考試該下，緊張到完全無法度思考。,考試那時候，緊張到完全無法思考。,,動詞,,2心理活動與感覺
2-74,承認,shin ngin+,承認,做毋著就愛承認。,做錯就要承認。,,動詞,,2心理活動與感覺
2-75,衰,soiˋ ,倒楣,仰會恁衰，連行路就會躪着狗屎。,怎麼這麼倒楣，連走路都會踩到狗屎。,,形容詞,,2心理活動與感覺
2-76,仇恨,shiu hen+,仇恨,這兩對頭仇恨已深。,這兩個對手仇恨很深。,,名詞,,2心理活動與感覺
2-77,隨意,sui rhiˇ ,隨意,請隨意挾菜食，毋使細義。,請隨意挾菜吃，不用客氣。,,形容詞,,2心理活動與感覺
2-78,體會,tiˊ fui+,體會,子女愛體會爺哀个辛苦。,子女要體會父母的辛苦。,,動詞,,2心理活動與感覺
2-79,痛苦,tungˇ kuˊ ,痛苦,離別个時節實在痛苦。,離別的時候真是痛苦。,,形容詞,,2心理活動與感覺
2-80,同情,tung cin,同情,大家都盡同情佢。,大家都很同情他。,,動詞,,2心理活動與感覺
2-81,委屈,vuiˋ kud,委屈,無搭無碓分人罵，心肝肚試着當委屈。,無緣無故被人罵，心裡感到很委屈。,,形容詞,,2心理活動與感覺
2-82,無聊,vu liau,無聊,在屋下無事做當無聊,在家裡沒事做很無聊,,形容詞,,2心理活動與感覺
2-83,慍悴,vud zud,鬱悶,心情慍悴,心情鬱悶,,形容詞,,2心理活動與感覺
2-84,心情,simˋ cin,心情,心情毋好。,心情不好。,,名詞,,2心理活動與感覺
2-85,心意,simˋ rhiˇ ,心意,你个心意阿爸收着咧。,你的心意爸爸收到了。,,名詞,,2心理活動與感覺
2-86,心理,simˋ liˋ ,心理,佢恁久準備考試，心理壓力當大。,他最近準備考試，心理壓力很大。,,名詞,,2心理活動與感覺
2-87,滿足,manˋ ziug,滿足,肚屎毋會枵着，佢就當滿足咧。,肚子不會餓到，他就很滿足了。,,形容詞,,2心理活動與感覺
2-88,性體,sinˇ tiˊ ,脾氣,阿叔个性體像阿婆。,叔叔的脾氣像祖母。,,名詞,,2心理活動與感覺
2-89,想法,siongˊ fab,想法,佢當有自家个想法。,他很有自己的想法。,,名詞,,2心理活動與感覺
2-90,想像,siongˊ siongˇ ,想像,佢想像未來這地方會變當多。,他想像未來這地方會變很多。,,動詞,,2心理活動與感覺
2-91,真心,"
zhinˋ simˋ ",真心,對待朋友，愛用真心。,對待朋友，要用真心。,,形容詞,,2心理活動與感覺
2-92,掌管,zhongˊ gonˊ ,掌握、管理,教育部掌管全國教育行政。,教育部掌管全國教育行政。,,動詞,,2心理活動與感覺
2-93,注意,zhuˇ rhiˇ ,留意、小心,出門在外自家愛注意。,出門在外自己要小心。,,動詞,,2心理活動與感覺
2-94,尊敬,zunˋ ginˇ ,尊敬,這個先生當受學生仔尊敬。,這位老師很受學生尊敬。,,動詞,,2心理活動與感覺
3-1,本人,bunˊ ngin,本人,該件事問佢本人較遽。,那件事問他本人比較快。,,名詞,,3代詞
3-2,對方,duiˇ fongˋ ,對方,做毋著斯愛摎對方會失禮。,做錯就要跟對方道歉。,,代詞,,3代詞
3-3,該樣,gai rhong+,那種,該樣東西無人想愛買。,那種東西沒人想要買。,,代詞,,3代詞
3-4,佢兜人,gi deuˋ ngin,他們,佢兜人當慶，出國比賽打第一！,他們很厲害，出國比賽得第一！,,代詞,,3代詞
3-5,各人,gog ngin,各自、各人,大家各人做各人个事,大家各做各的事,,代詞,,3代詞
3-6,某人,meuˋ ngin,某人,這案仔摎某人有關係。,這案件和某人有關係。,,代詞,,3代詞
3-7,你兜人（你兜儕）,ngi deuˋ ngin (ngi deuˋ sa),你們,你兜人等下愛去哪?,你們等一下要去哪裡？,,代詞,,3代詞
3-8,𠊎兜人（𠊎兜儕）,ngai deuˋ ngin (ngai deuˋ sa),我們（不含受話者）,𠊎兜人無像你恁見笑。,我們不像你那麼丟臉。,,代詞,,3代詞
3-9,別儕（別人）,pedˋ sa(pedˋ ngin),別人,這毋係你个專長，換別儕做哪！,這不是你的專長，換別人做吧！,,代詞,,3代詞
