編號,客家語,客語標音,華語詞義,例句,翻譯,備註,詞性1,詞性2,分類
2-56,想愛,siongˊ  oiˇ,想要,𠊎愛去市場，你有想愛買麼个無？,我要去市場，你有想買什麼嗎？,,動詞,,2心理活動與感覺
2-57,相信,siongˋ sinˇ,相信,大家愛相信佢,大家要相信他。,,動詞,,2心理活動與感覺
2-58,中意,zhungˇrhiˇ,喜歡,𠊎當中意該隻人公仔,我很喜歡那個人偶。,,動詞,,2心理活動與感覺
3-1,送,sungˇ,送,"這係人送个，毋係自家買个
阿爸送佢一輛自行車","這是別人送的，不是自己買的。
爸爸送他一輛自行車。",,動詞,,3外在活動與動作
3-2,𢱤,sungˊ,推,"自家个頭路，毋好𢱤分別人做
車仔毋會停動，你下來𢱤車仔","自己的工作，不要推給別人做。
車子不會動，你下來推車子。",,動詞,,3外在活動與動作
3-3,背,ba ,背；負荷；將衣服套在身上,"背細人仔去散步
天時恁熱，你背恁多衫做麼个？","背小孩去散步。
天氣那麼熱，你套那麼多衣服幹麼？",,動詞,,3外在活動與動作
3-4,飛,buiˋ,飛翔,鳥仔飛落屋，追毋出去,鳥飛進房子裡，趕不出去。,,動詞,,3外在活動與動作
3-5,放,biongˇ,解脫約束,"這圖片放較大一息
放佢自家去做","這張圖片放大一點。
由他自己去做。",,動詞,,3外在活動與動作
3-6,放,biongˇ,放置,錢放在桌頂，你自家拿,錢放在桌上，你自己拿。,,動詞,,3外在活動與動作
3-7,扯,chaˊ,撕；撕破,"摎這紙箱仔扯開來
簿仔分老弟扯爛爛","把這個紙箱撕開來。
簿子被弟弟撕爛。",,動詞,,3外在活動與動作
3-8,刷,sod,刷洗,用刷仔刷布鞋,用刷子刷布鞋。,,動詞,,3外在活動與動作
3-9,坐,coˋ,坐,"來啊！坐等食飯
坐愛有坐个樣仔","來啊！坐下吃飯。
坐要有坐相。",,動詞,,3外在活動與動作
3-10,撞着,cong+  doˊ,撞到,分車仔撞着，好得人無仰般,被車子撞到，還好人沒怎樣。,,動詞,,3外在活動與動作
3-11,捽,cudˋ,擦拭,摎字簿捽淨來,把作業簿擦乾淨。,,動詞,,3外在活動與動作
3-12,出去,chud hiˇ,出去,"行啊出去就毋記得咧！
日頭恁烈，毋好出去晒日頭","剛走出去就忘記了！
陽光正烈，不要出去晒太陽。",,動詞,,3外在活動與動作
3-13,出來,chud loi,出來,"衫恁短，肚臍走出來咧
文章還寫毋出來","衣服那麼短，肚臍露出來了。
文章還寫不出來。",,動詞,,3外在活動與動作
3-14,出入,chud ngibˋ,出入,"車仔多，出入愛注意
錢銀出入愛記清楚","車子多，出入要注意。
錢的收支要記清楚。",,動詞,,3外在活動與動作
3-15,伸,chunˋ,伸展,手伸較長兜仔,手伸長一點。,,動詞,,3外在活動與動作
3-16,伸手,chunˋshiuˊ,伸手,佢伸手摎人討錢,他伸手向人要錢。,,動詞,,3外在活動與動作
3-17,打, daˊ,打,"打粄
打球仔","做粄。
打球。",,動詞,,3外在活動與動作
3-18,打屁,daˊpiˇ,放屁,佢食番薯，緊打屁,他吃地瓜，一直放屁。,,動詞,,3外在活動與動作
3-19,打開,daˊ koiˋ,打開,摎這包餅打開來食,把這包餅乾打開來吃。,,動詞,,3外在活動與動作
3-20,帶,dai ˇ,帶,"記得愛帶等路轉來
皮包仔毋記得帶着","記得要帶伴手禮回來。
皮包忘記帶了。",,動詞,,3外在活動與動作
3-21,抵,diˊ,遮蔽,"用笠嫲抵等，較毋會晒着
這帽仔分你抵日頭","用斗笠遮著，比較不會晒到。
這帽子給你遮陽光。",,動詞,,3外在活動與動作
3-22,擲,debˋ,丟,"擲球仔愛細義
拚房間，麼个都擲淨淨","丟球要小心。
打掃房間，什麼都丟光。",,動詞,,3外在活動與動作
3-23,等,denˊ,等,你在這等𠊎一下,你在這裡等我一下。,,動詞,,3外在活動與動作
3-24,等下(等一下),denˊha+ (denˊrhid ha+),等一下,做得等下仔無？,可以等一下嗎？,,動詞,短語,3外在活動與動作
3-25,兜,deuˋ,端、捧,"兜人飯碗無恁簡單
看人恁無閒，還毋來𢯭兜凳仔","為別人工作不是簡單事。
看人這麼忙碌，還不來幫忙端椅子。",,動詞,,3外在活動與動作
3-26,跢倒,doiˋ doˊ,跌倒,行路愛細義，無會跢倒,走路要小心，不然會跌倒。,,動詞,,3外在活動與動作
3-27,擋,dongˊ,擋住,莫擋等人看電視啦！,不要擋住別人看電視！,,動詞,,3外在活動與動作
3-28,揞,emˋ,蒙住（常用於蒙住身體部位）。,"你緊嗽，愛記得揞嘴
佢試着見笑，摎面揞等","你一直咳嗽，要記得蒙住嘴巴。
他覺得丟臉，把臉蒙住。",,動詞,,3外在活動與動作
3-29,發明,fad min,發明,愛迪生發明電火,愛迪生發明電燈。,,動詞,,3外在活動與動作
3-30,分,funˋ,分開、分辨,佢兩儕當相像，連同學都分毋出來,他們兩人很像，連同學都分不出來。,,動詞,數/量詞,3外在活動與動作
3-31,攪,giauˋ,攪動、拌和,"攪紅毛泥
佢食麵定著愛攪辣醬","攪拌水泥。
他吃麵一定要拌辣椒醬。",,動詞,,3外在活動與動作
3-32,交,gauˋ,繳交,"
下拜一愛記得交作業",下星期一要記得交作業。,,動詞,,3外在活動與動作
3-33,弇,giem,蓋上、蓋起來（動詞）,"鑊蓋弇起來，熻一下仔
恁多烏蠅，遽摎桌頂个蓮霧弇等","鍋蓋蓋起來，燜煮一下。
這麼多蒼蠅，快把桌上的蓮霧蓋起來。",,動詞,,3外在活動與動作
3-34,噭,giauˇ,哭、哭泣,佢心肝肚艱苦，在間肚噭到無聲,他心裡難受，在房裡泣不成聲。,,動詞,,3外在活動與動作
3-35,根據,ginˋgiˊ,根據,"根據政府个公告，韶早放尞
莫講這無根據个事情","根據政府的公告，明天放假。
別說這種沒有根據的事情。",,動詞,,3外在活動與動作
3-36,追（逐）,duiˋ(giug),追趕,"雞仔分狗追到緊飛
時間吂到就緊追，緊張麼个？
烏蠅追就追毋走，還得人惱","雞被狗追到一直飛。
時間還沒到就一直趕，緊張什麼？
蒼蠅趕都趕不走，真討厭。",,動詞,,3外在活動與動作
3-37,過去, goˇ hiˇ,過去,"直直行過去就到佢屋下咧！
巴掌嫲盪過去","直直走過去就到他家了！
一巴掌打過去。",,動詞,,3外在活動與動作
3-38,過來,goˇ loi,過來,"定定仔行過來，毋好用走
摎該張凳仔徙過來放","慢慢走過來，不要用跑的。
把那張椅子移過來放。",,動詞,,3外在活動與動作
3-39,割,god,割,"分刀仔割着
割豬肉","被刀子割到。
買豬肉。",,動詞,,3外在活動與動作
3-40,蓋,goiˇ,覆蓋,阿姆摎老弟蓋被,媽媽幫弟弟蓋被子。,,動詞,名詞,3外在活動與動作
3-41,講,gongˊ,講、說,"你講麼个？𠊎完全聽毋識
你會講客話無？","你在說什麼？我完全聽不懂。
你會講客語嗎？",,動詞,,3外在活動與動作
3-42,講話,gongˊ  voiˋ/faˇ,說話,毋好亂講話,不要亂講話。,,動詞,,3外在活動與動作
3-43,扛,gongˋ,抬；合力,"你兩儕，摎這桶仔扛出去
兩儕扛等來做，較遽做好","你們兩個，把這個桶子抬出去。
兩個人合力一起做，比較快做好。",,動詞,,3外在活動與動作
