編碼,客家語,客語標音,華語詞義,例句,翻譯,備註,詞性1,詞性2,分類
1-64,身高,shinˇ gooˇ ,身高,佢个身高真堵好。,他的身高剛剛好。,,名詞,,1人體與醫療
1-65,手骨,shiu^ gudˊ ,手骨,無堵好跌倒，手骨嗄斷去！,不小心跌倒，手骨竟然斷掉！,,名詞,,1人體與醫療
1-66,手術（開刀）,shiu^ sudˋ (koiˇ dooˇ) ,手術,這擺手術真順利，兩日即會用出院啊！,這次手術很順利，兩天就可以出院了！,,名詞,,1人體與醫療
1-67,手骨輪,shiu^ gudˊ lunˋ ,手腕,阿依手骨輪着傷，疾个時連煎匙都擎毋會起來。,媽媽手腕受傷，痛的時候連鍋鏟都拿不起來。,,名詞,,1人體與醫療
1-68,大腸,tai chongˋ ,大腸,飲食愛正常，大腸正毋會著病。,飲食要正常，大腸才不會病變。,,名詞,,1人體與醫療
1-69,痰,tamˋ ,痰,毋好烏白呸痰。,不要亂吐痰。,,名詞,,1人體與醫療
1-70,頭那殼,teuˋ naˋ kooˊ ,頭殼,頭那殼真丁,頭殼很硬,,名詞,,1人體與醫療
1-71,腦,nau^ ,頭腦,營養足，頭腦即好,營養夠，頭腦就好,,名詞,,1人體與醫療
1-72,體重,te^ chungˇ ,體重,厥細子體重仰子恁輕？,他的小孩體重怎麼那麼輕？,,名詞,,1人體與醫療
1-73,毒,tu ,毒品；具毒性的,"食毒、有毒
兩尾毒蛇","吸毒、有毒
兩條毒蛇",,名詞,,1人體與醫療
1-74,胃,bbui,胃,佢胃無好，食無麼个會落。,他胃不好，吃不太下。,,名詞,,1人體與醫療
1-75,嘴鬚,zhe^ siˇ ,短鬚、鬍渣,阿爸修嘴鬚無修淨俐，嘴鬚猶會刺人。,爸爸刮鬍子沒有刮乾淨，鬍渣還刺刺的。,,名詞,,1人體與醫療
1-76,西醫,seˇ rhiˇ ,西醫,䀴西醫,看西醫,,名詞,,1人體與醫療
1-77,心臟,simˇ cong,心臟,心臟病,心臟病,,名詞,,1人體與醫療
1-78,症頭,zhin^ teuˋ ,病症,流濞係寒着个症頭。,流鼻涕是感冒的症狀。,,名詞,,1人體與醫療
1-79,嘴角,zhe^ gooˊ ,嘴的兩端，靠近臉頰的部位,飯粒黏在嘴角面上,飯粒黏在嘴角上,,動詞,,1人體與醫療
1-80,注射,zhi^ sha,打針,直直落屎愛去病院注射。,一直拉肚子要去醫院打針。,,動詞,,1人體與醫療
1-81,醉,zui^ ,醉,食酒醉,喝醉,,形容詞,,1人體與醫療
1-82,顫,zhinˇ ,顫抖,好定泥變天，佢寒到直直顫。,突然變天，他冷得一直顫抖。,,動詞,,1人體與醫療
1-83,著毒,choo tu,中毒,食物著毒,食物中毒,,動詞,,1人體與醫療
1-84,中風,zhung^ fungˇ ,中風,佢毋知仰子好定泥嗄中風。,他不知怎麼好端端的卻中風。,,名詞,動詞,1人體與醫療
1-85,腫,zhung^ ,腫,腳腫腫,腳腫腫的,,形容詞,,1人體與醫療
