編碼,客家語,客語標音,華語詞義,例句,翻譯,備註,詞性1,詞性2,分類
10-37,部長,pu zhong^ ,部長,教育部長,教育部長,,名詞,,10法律、政治與軍事
10-38,市長,shi zhong^ ,市長,臺北市長,臺北市長,,名詞,,10法律、政治與軍事
10-39,司令臺,suˇ lin taiˋ ,司令臺,大家到司令臺集合。,大家到司令臺集合。,,名詞,,10法律、政治與軍事
10-40,審判,shim^ pan^ ,審判,犯法愛接受司法个審判。,犯法要接受司法的審判。,,名詞,,10法律、政治與軍事
10-41,手銃,shiu^ chung^ ,手槍,在臺灣手銃買賣係違法个。,在臺灣手槍買賣是違法的。,,名詞,,10法律、政治與軍事
10-42,大會,tai fui,大會,運動大會,運動大會,,名詞,,10法律、政治與軍事
10-43,投票,teuˋ pioo^ ,投票,投票選班長,投票選班長,,動詞,,10法律、政治與軍事
10-44,道德,too dedˊ ,道德,做人做事愛有道德。,做人做事要有道德。,,名詞,,10法律、政治與軍事
10-45,選舉,sien^ gi^ ,選舉,後次擺選舉愛等四年。,下次選舉要等四年。,,名詞,動詞,10法律、政治與軍事
10-46,相㓾,siongˇ chiˋ ,相互打殺、戰爭,兩個國家相㓾，死去真多人。,兩個國家戰爭，死了很多人。,,名詞,,10法律、政治與軍事
10-47,炸藥,za^ rhioo,炸藥,這間舊屋拆莫愛用炸藥。,這間舊房子拆掉要用炸藥。,,名詞,,10法律、政治與軍事
10-48,走私,zeu^ suˇ ,走私,這兜係走私个毒品，摸毋得。,這些是走私的毒品，碰不得。,,動詞,,10法律、政治與軍事
10-49,制度,zhi^ tu,制度,時代無共款啊，現時个醫療制度比成過猶較健全。,時代不同了，現在的醫療制度比以前還要健全。,,名詞,,10法律、政治與軍事
10-50,執政,zhibˊ zhin^ ,執政,執政黨,執政黨,,動詞,,10法律、政治與軍事
10-51,徵收,zhinˇ shiuˇ ,徵收,徵收土地,徵收土地,,動詞,,10法律、政治與軍事
10-52,政策,zhin^ cedˊ ,政策,國家政策,國家政策,,名詞,,10法律、政治與軍事
10-53,做兵,zoo^ binˇ ,服兵役,成過做兵較操。,以前服兵役比較操勞。,,動詞,,10法律、政治與軍事
10-54,主席,zhi^ sidˋ ,主席,會議个主席,會議的主席,,名詞,,10法律、政治與軍事
10-55,總統,zung^ tung^ ,總統,總統候選人,總統候選人,,名詞,,10法律、政治與軍事
10-56,國家,gudˊ gaˇ ,國家,佢去過真多國家。,他去過很多國家。,,名詞,,10法律、政治與軍事
11-1,詏,au^ ,辯駁,"阿哥一支嘴真會詏，你詏毋會贏佢。
明明自家毋著，佢猶直直詏。","哥哥一張嘴很會辯駁，你辯不贏他。
明明自己不對，他還一直辯駁。",,動詞,,11社會關係與行為
11-2,伯婆,baˊ pooˋ ,伯祖母,,,,名詞,,11社會關係與行為
11-3,表達,bioo^ tadˋ ,表達,佢毋知愛仰子表達佢个心情。,他不知道要怎麼表達他的心情。,,動詞,,11社會關係與行為
11-4,表个,bioo^ eˇ ,指表兄弟,講着焙牛眼乾，𠊎表个一等會。,說到烘焙龍眼乾，我的表兄最拿手。,,名詞,,11社會關係與行為
11-5,表示,bioo^ shi,表示,"毋講事即係表示無意見。
阿爸做生日，你人有麼个表示？","不說話就是表示沒意見。
爸爸過生日，你們有什麼表示？",,動詞,,11社會關係與行為
11-6,報仇,boo^ shiuˋ ,報仇,事情過去即好，毋好尋人報仇。,事情過去就好，不要找人報仇,,動詞,,11社會關係與行為
11-7,保證,boo^ zhin^ ,保證,掛保證,掛保證,,動詞,名詞,11社會關係與行為
11-8,幫助,bongˇ cu,幫助,"食這敢有幫助？
幫助人係真有意義个事情。","吃這個真的有幫助嗎？
幫助人是很有意義的事情。",,動詞,名詞,11社會關係與行為
11-9,不孝男,budˊ hau^ namˋ ,不孝男,爺哀過身，做後生个總認為係自家不孝，所以自稱不孝男。,父母過世，做兒子的總認為是自己不孝，所以自稱不孝男。,,名詞,,11社會關係與行為
11-10,本等,bun^ den^ ,本事,有本等正講，莫伸一支嘴。,有本事再說，別只剩一張嘴。,,名詞,,11社會關係與行為
11-11,車禍,chaˇ foo,車禍,出車禍,出車禍,,名詞,,11社會關係與行為
11-12,參考,camˇ koo^ ,參考,"提供改進个參考。
參考䀴望啊。","提供改進的參考。
參考看看。",,動詞,名詞,11社會關係與行為
11-13,吵,cau^ ,爭吵；吵鬧,"𠊎人兄弟感情真好，自底毋識吵過。
外頭賞紙炮，真吵。","我們兄弟感情很好，從來不曾爭吵過。
外面在放鞭炮，很吵。",,動詞,形容詞,11社會關係與行為
11-14,賊,cedˋ ,小偷,𠊎个金器得賊偷提淨淨啊啦！,我的黃金首飾被小偷偷個精光了！,,名詞,,11社會關係與行為
11-15,招,zhiooˇ ,邀請；聚集,"想討招你食飯，會用無？
恁多人招共下，應該會用開一桌。","想約你吃飯，可以嗎？
那麼多人聚集在一起，應該可以開一桌。",,動詞,,11社會關係與行為
11-16,謙虛,kiamˇ hiˇ ,謙虛,做人愛謙虛正好。,做人要謙虛才好。,,形容詞,,11社會關係與行為
11-17,孫仔女,sunˇ aˋ m^ ,姪女,,,,名詞,,11社會關係與行為
11-18,坐歇,cooˇ hiedˊ ,串門子；坐下閒談,"阿媽逐晨早攏會去隔壁屋下坐歇。
大樹下係坐歇个好所在。","奶奶每天早上都會去鄰居家串門子。
大樹下是閒聊的好地方。",,動詞,,11社會關係與行為
11-19,丈㜷哀,chong miˇ oiˇ ,岳母,,,,名詞,,11社會關係與行為
11-20,丈㜷老,chong miˇ loo^ ,岳父,,,,名詞,,11社會關係與行為
11-21,處罰,chi^ fadˋ ,處罰,佢毋聽事，得阿依處罰。,他不聽話，被媽媽處罰。,,動詞,,11社會關係與行為
11-22,撥工,badˊ gungˇ ,本意為抽空、抽時間，引申為積極,這件事，你愛撥工來做！,這件事，你要積極做好！,,動詞,,11社會關係與行為
11-23,出脫,chidˊ todˊ ,出息,阿火厥後生真有出脫。,阿火他兒子很有出息。,,名詞,,11社會關係與行為
11-24,族譜,cu pu^ ,族譜,族譜面上有真多名。,族譜上有很多名字。,,名詞,,11社會關係與行為
11-25,打鬥敘,da^ deu^ si^ ,幾個人共同餐敘聊天,下班來𠊎个屋下打鬥敘，討無？,下班來我家聚餐，要嗎？,,動詞,,11社會關係與行為
11-26,打探,da^ tam^ ,打聽,聽講遐個屋下个阿女真靚，你去打探䀴望啊。,聽說那家的女兒很漂亮，你去打聽看看。,,動詞,,11社會關係與行為
11-27,答嘴鼓,dabˊ zhe^ gu^ ,聊天,真多人在樹下答嘴鼓。,很多人在樹下聊天。,,動詞,,11社會關係與行為
11-28,得人畏,dedˊ nginˋ bbui^ ,可怕、令人害怕,癌症係得人畏个病症,癌症是可怕的病症,,動詞,,11社會關係與行為
11-29,鬥雙,deu^ sungˇ ,湊成對,"鞋愛鬥雙正會著。
箸愛鬥雙正會挾。","鞋子要湊成一雙才能穿。
筷子要湊成一雙才能挾。",,動詞,,11社會關係與行為
11-30,得失人,dedˊ shidˊ nginˋ ,得罪人,佢講事輒輒得失人。,他說話常常得罪人。,,動詞,,11社會關係與行為
11-31,對象,doi^ siong^ ,對象,"請問，你有對象吂？
佢訪問个對象係專家。","請問，你有對象了嗎？
他訪問的對象是專家。",,名詞,,11社會關係與行為
11-32,人情人（恩人）,nginˋ cinˋ nginˋ (enˇ nginˋ) ,恩人,救命个人情人,救命恩人,,名詞,,11社會關係與行為
11-33,反映,fan^ rhiang^ ,反映,反映社會个問題,反映社會的問題,,動詞,,11社會關係與行為
11-34,會失禮,fue shidˊ li^ ,道歉,碰着人愛拁人會失禮。,撞到人要向人道歉。,,動詞,,11社會關係與行為
11-35,和,fooˋ ,應和,你唱山歌𠊎來和。,你唱山歌我來應和。,,動詞,,11社會關係與行為
11-36,歡頭笑面,fanˇ teuˋ sioo^ mien^ ,歡顏笑臉,對人客愛歡頭笑面。,對客人要歡顏笑臉。,,形容詞,,11社會關係與行為
11-37,付出,fu^ chidˊ ,付出,佢為着家庭付出真多,他為了家庭付出很多,,動詞,,11社會關係與行為
11-38,負擔,fu damˇ ,負擔,"負擔毋會起。
社會个負擔。","負擔不起。
社會的負擔。",,動詞,,11社會關係與行為
11-39,夫娘人,buˇ ngiongˋ nginˋ ,婦人,遐個夫娘人真慶，事情做到伶伶俐俐。,那個婦人很能幹，事情做得乾淨俐落。,,名詞,,11社會關係與行為
11-40,家婆,gaˇ pooˋ ,婆婆，指丈夫的母親,,,,名詞,,11社會關係與行為
11-41,加油,gaˇ rhiuˋ ,加油料；替他人打氣、鼓勵時的用語,"車無油愛加油。
想愛有好成績，愛較加油兜。","車子沒油要加油。
想要有好成績，要更加油一點。",,動詞,,11社會關係與行為
11-42,家庭,gaˇ tenˋ ,家庭,家庭和樂,家庭和樂,,名詞,,11社會關係與行為
11-43,家長,gaˇ zhong^ ,家長,雙方家長,雙方家長,,名詞,,11社會關係與行為
11-44,感謝狀,gam^ cia cong,感謝狀、謝帖,學校頒發感謝狀得佢。,學校頒發感謝狀給他。,,名詞,,11社會關係與行為
11-45,教訓,gau^ fun^ ,教訓,這個細子無規矩，無教訓一下毋會使。,這小孩沒規矩，不教訓一下不行。,,動詞,,11社會關係與行為
11-46,細子頭王,se^ zu^ teuˋ ongˋ ,頑皮王,大家攏喊佢細子頭王。,大家都叫他頑皮王。,,名詞,,11社會關係與行為
11-47,教人,gau^ nginˋ ,教導人,教人讀書,教人讀書,,動詞,,11社會關係與行為
11-48,交朋友,gauˇ penˋ rhiu^ ,交朋友,和人交朋友愛用真心。,與人家交朋友要用真心。,,動詞,,11社會關係與行為
11-49,交流,gauˇ liuˋ ,交流,和人交流,跟人家交流,,動詞,,11社會關係與行為
11-50,舉辦,gi^ peen,舉辦,運動會幾時舉辦？,運動會何時舉辦？,,動詞,,11社會關係與行為
11-51,計較,ge^ gau^ ,計較,屋下人莫恁計較。,家人之間不要那麼計較。,,動詞,,11社會關係與行為
11-52,見怪,gien^ guai^ ,抱怨、責備,請你莫見怪。,請你不要見怪。,,動詞,,11社會關係與行為
11-53,建議,gien^ ngi ,建議,這個建議毋會䆀哦！,這建議不會錯哦！,,名詞,動詞,11社會關係與行為
11-54,見人,gien^ nginˋ ,出現在他人面前,佢藏在房間內底，毋敢見人。,他躲在房裡，不敢見人。,,動詞,,11社會關係與行為
11-55,溝通,geuˇ tungˇ ,溝通,和佢溝通幾下擺，猶係共樣。,跟他溝通好幾次，還是一樣。,,動詞,,11社會關係與行為
11-56,過家,goo^ gaˇ ,串門子,佢見食飽即去過家，尞到毋知好轉。,他每次吃飽就去串門子，聊到不知道該回家了。,,動詞,,11社會關係與行為
11-57,角色,gooˊ sedˊ ,角色,佢這擺做个角色係警察。,他這次扮演的角色是警察。,,名詞,,11社會關係與行為
11-58,講究,gong^ giu^ ,講究,佢對食个十分講究。,他對吃的東西十分講究。,,動詞,,11社會關係與行為
11-59,拐,guai^ ,哄騙,"細子愛顧好，無會得人拐走。
阿明直直唩，阿依提糖拐佢。","小孩要看緊一點，不然會被人拐走。
阿明一直哭，媽媽拿糖果哄他。",,動詞,,11社會關係與行為
11-60,貴姓,gui^ siang^ ,貴姓,請問你貴姓？,請問你貴姓？,,名詞,,11社會關係與行為
11-61,公共場所,gungˇ kiung chongˋ su^ ,公共場所,公共場所毋會用食薰。,公共場所不能抽菸。,,名詞,,11社會關係與行為
11-62,合作,habˋ zooˊ ,合作,"合作社
互相合作","合作社
互相合作",,動詞,,11社會關係與行為
11-63,限制,heen zhi^ ,限制,參觀精密儀器工廠，限制真多。,參觀精密儀器工廠，限制很多。,,動詞,,11社會關係與行為
11-64,行動,hangˋ tungˇ ,行動,"佢个腳行動無方便。
講啊即愛較緊行動","他的腳行動不方便。
說了就要快點行動",,名詞,動詞,11社會關係與行為
11-65,後哀,heu oiˇ ,繼母,厥後哀對子女攏真惜，無分前後。,她繼母對子女都很疼愛，沒有分前後。,,名詞,,11社會關係與行為
11-66,惑人,fooˊ nginˋ ,使詐欺人,這個人真會惑人，你即毋好得佢惑着。,這個人很會訛詐人，你可別被他騙了。,,動詞,,11社會關係與行為
11-67,訓練,fun^ leen ,訓練,"佢討參加新生訓練。
逐日訓練正會進步。","他要參加新生訓練。
每天訓練才會進步。",,動詞,,11社會關係與行為
11-68,偎靠,bba^ koo^ ,倚靠、信賴,這個後生子人做事打拚硬直，會用偎靠。,這個年輕人做事認真正直，可以信賴。,,動詞,,11社會關係與行為
11-69,邀請,rhiooˇ ciang^ ,邀請,佢邀請𠊎去厥屋下尞。,他邀請我去他家玩。,,動詞,,11社會關係與行為
11-70,要求,rhiooˇ kiuˋ ,要求,你提出个要求忒多，無法度歸下答應你。,你提出的要求太多，無法全部答應你。,,名詞,,11社會關係與行為
11-71,應承,en^ shinˋ ,承諾,若係做毋會到即毋好儘採應承人。,如果做不到就不要隨便承諾別人。,,動詞,,11社會關係與行為
11-72,約會,rhiooˊ fui,約會,著恁靚，討去哪位約會？,穿那麼漂亮，要去哪裡約會？,,動詞,,11社會關係與行為
11-73,遊行,rhiuˋ hangˋ ,遊行,雙十節遊行,雙十節遊行,,名詞,,11社會關係與行為
11-74,相借問,siongˇ ziaˊ mun^ ,打招呼,堵着熟事人愛相借問，正有禮貌。,遇到熟人要打招呼，才有禮貌。,,動詞,,11社會關係與行為
11-75,容,rhungˋ ,放任；縱容,容壞去！,寵壞了,,動詞,,11社會關係與行為
11-76,容子,rhungˋ zu^ ,縱容孩子,容子跋壁,姑息縱容孩子,,動詞,,11社會關係與行為
11-77,欺負,kiˇ fu ,欺負,莫恁欺負人好無？,不要這麼欺負人好嗎？,,動詞,,11社會關係與行為
11-78,奉勸,fung kuen^ ,勸告,愛聽序大人个奉勸,要聽長輩的勸告,,動詞,,11社會關係與行為
11-79,牽成,kienˇ shinˋ ,提攜,感謝你个牽成。,感謝你的提攜。,,動詞,,11社會關係與行為
11-80,慶祝,kin^ zhuˊ ,慶祝,暗夜討慶祝阿怙个生日。,今晚要慶祝爸爸的生日。,,動詞,,11社會關係與行為
11-81,強調,kiongˋ teeu ,強調,佢強調佢無惑人。,他強調他沒騙人。,,動詞,,11社會關係與行為
11-82,歡頭喜面,fanˇ teuˋ hi^ mien^ ,笑容滿面,佢對人總係歡頭喜面。,他對人總是笑容滿面。,,形容詞,,11社會關係與行為
11-83,苦毒,ku^ tu,虐待,毋會用苦毒動物。,不可以虐待動物。,,動詞,,11社會關係與行為
11-84,虧欠,kuiˇ kiam^ ,虧欠,𠊎這世人無虧欠麼儕，所以心安理得。,我這輩子沒有虧欠誰，所以心安理得。,,動詞,,11社會關係與行為
11-85,誣賴人,bbuˋ lai nginˋ ,誣賴人,毋會用無證據即儘採誣賴人。,不可以沒有證據就隨便誣賴人。,,動詞,,11社會關係與行為
11-86,落子,lau^ zu^ ,騙子,落子頭愛惑老儕。,騙子非常喜歡騙老人。,,名詞,,11社會關係與行為
11-87,惹,rhia^,招惹、捉弄,毋係自家个狗毋好惹佢，驚會起狂咬人。,不是我們自己的狗不要招惹牠，恐怕會發脾氣咬人。,,動詞,,11社會關係與行為
11-88,惹人,rhia^ nginˋ ,招惹人、捉弄人,佢在學校輒輒惹人，所以無麼个朋友。,他在學校常常捉弄人，所以沒什麼朋友。,,動詞,,11社會關係與行為
11-89,聯絡,lienˋ loo ,聯絡,較緊打電話和佢聯絡。,快點打電話跟他聯絡。,,動詞,,11社會關係與行為
11-90,兩姊妹,liong^ zi^ moi^ ,兩姊妹；兩姊弟；兩兄妹,阿英和厥哥兩姊妹正差一歲。,阿英和她哥哥兩兄妹才相差一歲。,,名詞,,11社會關係與行為
11-91,錄取,liu ci^ ,錄取,這擺考試，佢高分錄取。,這次考試，他高分錄取。,,動詞,,11社會關係與行為
11-92,妹婿,moi^ se^ ,妹夫,,,,名詞,,11社會關係與行為
11-93,弟嫂,teˇ soo^ ,弟媳婦,,,,名詞,,11社會關係與行為
11-94,老阿婆,loo^ aˇ pooˋ ,老太太,行過來个老阿婆係你个麼儕？,走過來的老太太是你的誰？,,名詞,,11社會關係與行為
11-95,老貨子,loo^ foo^ zu^ ,老傢伙,喊人老貨子真無禮貌。,叫人老傢伙很沒禮貌。,,名詞,,11社會關係與行為
11-96,鱸鰻,luˋ manˋ ,流氓；行為不受約束,遐個鱸鰻真惡。,那個流氓很凶惡。,,名詞,,11社會關係與行為
11-97,擂人（亂人）,luiˋ nginˋ (lon nginˋ) ,煩人,歸日擂人即會！,整天煩人最會！,,動詞,,11社會關係與行為
11-98,毋插人,mˋ cabˊ nginˋ ,不理人,和佢講事攏毋插人，真怪奇。,跟他說話都不理人，真奇怪。,,動詞,,11社會關係與行為
11-99,滿姑,manˇ guˇ ,最小的姑姑,,,,名詞,,11社會關係與行為
11-100,滿姨,manˇ rhiˋ ,最小的姨媽,,,,名詞,,11社會關係與行為
11-101,滿子,manˇ zu^ ,最小的兒子,,,,名詞,,11社會關係與行為
11-102,民族,minˋ cu,民族,中華民族,中華民族,,名詞,,11社會關係與行為
11-103,無伴,moˋ panˇ ,沒有伴,正降一個定，細子無伴好尞。,才生一個而已，小孩子沒有伴可以玩耍。,,動詞,,11社會關係與行為
11-104,問候（問）,mun^ heu (mun^) ,問候,入門愛拁爺哀問候。,進門要向父母問安。,,動詞,,11社會關係與行為
11-105,确,kogˋ ,吝嗇,這個頭家确到討死。,這老闆吝嗇得要命。,,形容詞,,11社會關係與行為
11-106,熱心,ngiedˋ simˇ ,熱心,阿怙十分熱心。,爸爸非常熱心。,,形容詞,,11社會關係與行為
11-107,年歲,neenˋ se^ ,年齡,這个比賽係照年歲來分个。,這比賽是照年齡來分的。,,名詞,,11社會關係與行為
11-108,放饒（放讓）,biong^ ngiauˋ (biong^ ngiong),原諒,犯重罪，毋得放饒。,犯重罪，不能原諒。,,動詞,,11社會關係與行為
11-109,認分,ngin fun,守本分,各人个命無共樣，愛認分。,每個人的命運都不一樣，要守本分。,,動詞,,11社會關係與行為
11-110,誤會,ngu fui ,誤會,"這係一個誤會。
毋會用儘採誤會別儕。","這是一個誤會。
不可以隨便誤會別人。",,動詞,,11社會關係與行為
11-111,奴才,nuˋ caiˋ ,奴才,佢對子兒有求必應，做到像奴才共款。,他對子女有求必應，做得像奴才一樣。,,名詞,,11社會關係與行為
11-112,阿佅（嬰仔）,aˇ moiˊ (eenn aˋ) ,嬰兒,阿佅真得人惜。,嬰兒很可愛。,,名詞,,11社會關係與行為
11-113,白食,pa shiedˋ ,白吃,佢真輒去人屋下白食。,他經常去別人家裡白吃。,,動詞,,11社會關係與行為
11-114,陪,pueˋ ,陪伴,𠊎愛上課，無閒陪你尞,我要上課，沒空陪你玩,,動詞,,11社會關係與行為
11-115,培養,pueˋ rhiong^ ,培養,你愛好好培養佢。,你要好好培養他。,,動詞,,11社會關係與行為
11-116,膨風,pong^ fungˇ ,吹牛,佢真會膨風，莫信佢！,他很會吹牛，不要相信他！,,動詞,,11社會關係與行為
11-117,歕雞胲,punˋ geˇ goiˇ ,吹氣球，引申為吹牛之義,佢一日到暗歕雞胲，講事無人信。,他一天到晚吹牛，講話沒人相信。,,動詞,,11社會關係與行為
11-118,親家㜷,cinˇ gaˇ miˇ ,親家母,,,,名詞,,11社會關係與行為
11-119,簽名,ciamˇ miangˋ ,簽名,請在這個格內底簽名。,請在這格子裡簽名。,,動詞,名詞,11社會關係與行為
11-120,請教,ciang^ gau^ ,請教,請教一下,請教一下,,動詞,,11社會關係與行為
11-121,親家,cinˇ gaˇ ,親家,,,,名詞,,11社會關係與行為
11-122,煞手,sadˊ shiu^ ,果決、乾淨俐落,佢做事真煞手。,他工作很俐落。,,形容詞,,11社會關係與行為
11-123,妹子,moi^ zu^ ,少女；年輕女孩,遠遠行過來个係一個妹子。,遠遠走過來的是一位少女。,,名詞,,11社會關係與行為
11-124,年歲,neenˋ se^ ,年紀,阿公年歲真大。,祖父年紀很大。,,名詞,,11社會關係與行為
11-125,序大人,si tai nginˋ ,長輩,對序大人愛有禮貌。,對長輩要有禮貌。,,名詞,,11社會關係與行為
11-126,喊上喊落,heem^ shong heem^ loo ,呼來喚去,今日人客真多，佢歸日得人喊上喊落。,今天客人很多，他整天被人呼來喚去。,,動詞,,11社會關係與行為
11-127,實在事,shidˋ cai su,實話,𠊎認為佢無講實在事。,我認為他沒說實話。,,名詞,,11社會關係與行為
11-128,講人,gong^ nginˋ ,稱說（批評人或稱讚人）,誰人背後無人講，哪個人前不講人（諺）,哪一個人的背後沒有人說他閒話，哪一個人在他人面前不稱說（或批評）別人。,,動詞,,11社會關係與行為
11-129,上家下家,shong gaˇ haˇ gaˇ ,鄰居,上家下家有來有去，感情真好。,鄰居有來有往，感情很好。,,名詞,,11社會關係與行為
11-130,熟絡,shu loo ,熟練、熟悉,"捉雞佢真熟絡
多練習即會熟絡","捉雞他很熟練
多練習就會熟悉",,動詞,,11社會關係與行為
11-131,熟事,shiu su,熟識,佢人熟事真多年啊！,他們認識很多年了！,,動詞,,11社會關係與行為
11-132,叔伯兄弟,shuˊ baˊ shangˇ/shiangˇ teˇ ,堂兄弟,,,,名詞,,11社會關係與行為
11-133,叔伯姊妹,shuˊ baˊ zi^ moi^ ,堂姊妹,,,,名詞,,11社會關係與行為
11-134,阿嬸,aˇ shim^ ,嬸嬸,,,,名詞,,11社會關係與行為
11-135,孫,sunˇ ,孫子,,,,名詞,,11社會關係與行為
11-136,妹子孫,moi^ zu^ sunˇ ,孫女,,,,名詞,,11社會關係與行為
11-137,大人細子,tai nginˋ se^ zu^ ,泛指大人和小孩,這餅大人細子攏真愛食。,這糕餅大人小孩都很愛吃。,,名詞,,11社會關係與行為
11-138,大嫂,tai soo^ ,大嫂,,,,名詞,,11社會關係與行為
11-139,談話,tamˋ bba ,談話,電視臺有真多談話个節目。,電視臺有很多談話的節目。,,名詞,,11社會關係與行為
11-140,提供,teˋ giungˇ ,提供,這資料係頭家提供个。,這資料是老闆提供的。,,動詞,,11社會關係與行為
11-141,帖,teebˊ ,帖子、喜帖,𠊎昨日收着高中同學个帖。,我昨天收到高中同學的喜帖。,,名詞,,11社會關係與行為
11-142,調查,deeu^ zaˇ ,調查,你去調查一下鬥底係麼个事情。,你去調查一下到底是什麼事情。,,動詞,,11社會關係與行為
11-143,敵人,tedˋ nginˋ ,敵人,佢人因為立場無共款嗄變做敵人。,他們因為立場不同竟然變成敵人。,,名詞,,11社會關係與行為
11-144,討皮疾,too^ piˋ cidˋ ,討打,這個細子講毋會聽，根本係討皮疾。,這小孩講不聽，根本討打。,,動詞,,11社會關係與行為
11-145,代理,toi li^ ,代理,韶日佢請假，你代理一下好無？,明天他請假，你代理一下好嗎？,,動詞,,11社會關係與行為
11-146,推,toiˇ/tuiˇ ,推卸,自家个事莫推得別儕,自己的工作別推給別人,,動詞,,11社會關係與行為
11-147,推辭,toiˇ suˋ ,推辭,人拜託佢个事，佢自來毋識推辭。,人家拜託他的事，他從來不曾推辭。,,動詞,,11社會關係與行為
11-148,團圓,tonˋ bbienˋ ,團圓,年三十暗夜食團圓飯。,除夕夜吃團圓飯。,,動詞,,11社會關係與行為
11-149,團體,tonˋ te^ ,團體,這個團體專門在救人个。,這團體專門在救人的。,,名詞,,11社會關係與行為
11-150,推薦,tuiˇ zien^ ,推薦,逐儕攏推薦佢去比賽。,每個人都推薦他去比賽。,,動詞,,11社會關係與行為
11-151,偎靠,bba^ koo^ ,依靠,老阿婆真苦憐，無人好偎靠。,老婆婆很可憐，沒人可以依靠。,,動詞,,11社會關係與行為
11-152,姓,siang^ ,姓,佢姓麼个？,他姓什麼？,,名詞,,11社會關係與行為
11-153,名姓,miangˋ siang^ ,姓名,老啊！連自家个名姓都毋識去。,老了！連自己的姓名都不認得。,,名詞,,11社會關係與行為
11-154,餳,siannˋ ,吸引,甜个莫囥桌崠，會餳蟻子。,甜食不要放桌上，會吸引螞蟻。,,動詞,,11社會關係與行為
11-155,選擇,sien^ cedˋ ,選擇,做好選擇即莫後悔,做好選擇就不要後悔,,名詞,動詞,11社會關係與行為
11-156,新婦,sinˇ/simˇ peˇ ,媳婦,,,,名詞,,11社會關係與行為
11-157,性別,sin^ piedˋ ,性別,有兜動物無分性別。,有些動物不分性別。,,名詞,,11社會關係與行為
11-158,新親戚,sinˇ cinˇ cidˊ ,新親戚、剛結的姻親,新親戚和媒人共桌坐,剛結的姻親和媒人坐同桌,,名詞,,11社會關係與行為
11-159,相爭,siongˇ zangˇ ,互相搶,佢兩姊妹相爭討去市場。,他們兩姊妹互相搶著要去市場。,,動詞,,11社會關係與行為
11-160,假意,ga^ rhi^ ,假裝,阿依直直喊佢，佢嗄假意無聽着。,媽媽一直叫他，他卻假裝沒聽到。,,動詞,,11社會關係與行為
11-161,爭取,zenˇ/zangˇ ci^,爭取,自家个權利愛爭取,自己的權利要爭取,,動詞,,11社會關係與行為
11-162,子兒,zu^ rhiˋ ,子女,佢人兩公姐討供恁多子兒，實在真拚哦！,他們夫妻倆要養這麼多子女，實在很拼喔！,,名詞,,11社會關係與行為
11-163,姊嫂,zi^ soo^ ,妯娌,,,,名詞,,11社會關係與行為
11-164,證明,zhin^ menˋ ,證明,愛仰子證明得大家䀴？,要怎麼證明給大家看？,,動詞,,11社會關係與行為
11-165,使妮,sai nai,撒嬌,阿女較會拁爺哀使妮。,女兒比較會跟父母撒嬌。,,動詞,,11社會關係與行為
11-166,作怪,zooˊ guai^ ,作怪、耍花樣,佢頭會作怪。,他最會耍花樣。,,動詞,,11社會關係與行為
11-167,主動,zhi^ tung,主動,主動拁人鬥做,主動幫忙別人,,形容詞,,11社會關係與行為
11-168,祝福,zhuˊ fuˊ ,祝福,祝福你平安順序。,祝福你平安順利。,,名詞,,11社會關係與行為
11-169,參觀,camˇ guanˇ ,參觀,自由參觀,自由參觀,,動詞,,11社會關係與行為
11-170,創造,cong^ coo ,創造,試驗恁多擺總算創造出來啊！,試驗這麼多次總算創造出來了！,,動詞,,11社會關係與行為
11-171,發揮,fadˊ fuiˇ ,發揮,自由發揮,自由發揮,,動詞,,11社會關係與行為
11-172,年歲,neenˋ se^ ,年紀,年歲大啊！好渡啊！,年紀大了！該娶了！,,名詞,,11社會關係與行為
11-173,強盜（土匪）,kiongˋ too (tu^ fui^) ,強盜,官兵捉強盜係細子人愛賞个遊戲。,官兵捉強盜是小孩子喜歡玩的遊戲。,,名詞,,11社會關係與行為
11-174,家官,gaˇ guanˇ ,公公（丈夫之父）,,,,名詞,,11社會關係與行為
11-175,不孝子,budˊ hau^ zu^ ,不孝子,阿明毋聽事，阿依罵佢係不孝子。,阿明不聽話，媽媽罵他是不孝子。,,名詞,,11社會關係與行為
12-1,恁久,ngin^ giu^ ,這麼久；近來、最近,"仰子會去恁久猶吂轉？
恁久無䀴着！","怎麼去這麼久還沒回來？
好久不見！",,副詞,,12時空與情狀副詞
12-2,半站,ban^ cam,中途,腳真痠，到半站即行毋會停動啊。,腳很痠，到半途就走不動了。,,副詞,,12時空與情狀副詞
12-3,半世人,ban^ she^ nginˋ ,大半輩子,佢用半世人正完成這本書。,他用大半輩子才完成這本書。,,名詞,,12時空與情狀副詞
12-4,頭尾,teuˋ muiˇ ,最後,頭尾出來个愛鎖門,最後出來的要鎖門,,副詞,,12時空與情狀副詞
12-5,上裡,shong le^ ,北邊,日本在臺灣个上裡。,日本在臺灣的北邊。,,名詞,,12時空與情狀副詞
12-6,北勢裡（北方）  ,bedˊ she^ le^ (bedˊfongˇ),北方,寒天个時務，北勢裡个鳥會南下過冬。,冬天的時候，北方的鳥會南下過冬。,,名詞,,12時空與情狀副詞
12-7,脣,finˋ ,旁邊,阿叔企在阿怙身脣作垺翕相。,叔叔站在爸爸旁邊一起照相。,,副詞,,12時空與情狀副詞
