編號,客家語,客語標音,客語音檔,華語詞義,例句,例句音檔,翻譯,備註,詞性1,詞性2,分類
1-45,肚臍,duˋ qiˇ,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-045.mp3,肚臍,,,,,名詞,,1人體與醫療
1-46,屎朏,sii vudˋ【sii fudˋ】,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-046.mp3,屁股,日頭晒屎朏，好䟘起來哩（吔）。,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-046s.mp3,太陽晒屁股，該起來了。,,名詞,,1人體與醫療
1-47,腳,giogˋ,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-047.mp3,腳,洗身該下腳愛洗淨。,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-047s.mp3,洗澡時腳要洗乾淨。,,名詞,數/量詞,1人體與醫療
1-48,腳趾,giogˋ ziiˋ,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-048.mp3,腳趾,,,,,名詞,,1人體與醫療
1-49,身體,siinˊ  tiˋ,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-049.mp3,身體,阿姆企忒久，身體佇毋著,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-049s.mp3,媽媽站太久，身體撐不住。,,名詞,,1人體與醫療
1-50,心肝,ximˊ gonˊ,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-050.mp3,心臟,佢嚇到心肝緊跳。,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-050s.mp3,他嚇得心跳加速。,,名詞,,1人體與醫療
1-51,腸仔,congˇ eˋ,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-051.mp3,腸子,,,,,名詞,,1人體與醫療
1-52,骨頭,gudˋ  teuˇ,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-052.mp3,骨頭,佢跌倒（橫倒），骨頭斷忒（斷核）。,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-052s.mp3,他跌倒，骨頭斷了。,,名詞,,1人體與醫療
1-53,人,nginˇ,https://wiki.hakka.gov.tw/file/107/1/si/w/si-01-053.mp3,人,佢屋下有五儕人（個人）。,https://wiki.hakka.gov.tw/file/107/1/si/s/si-01-053s.mp3,他家有五個人。,,名詞,,1人體與醫療
2-1,飽,bauˋ,https://wiki.hakka.gov.tw/file/107/1/si/w/si-02-001.mp3,飽,食飽夜來去散步好無？,https://wiki.hakka.gov.tw/file/107/1/si/s/si-02-001s.mp3,吃完晚餐後去散步好嗎？,,形容詞,,2心理活動與感覺
2-2,拚,biang【bia】,https://wiki.hakka.gov.tw/file/107/1/si/w/si-02-002.mp3,賣力、拼,肯拚就會出頭天。,https://wiki.hakka.gov.tw/file/107/1/si/s/si-02-002s.mp3,肯打拼就會出頭天。,,動詞,,2心理活動與感覺
