編號,客家語,客語標音,客語音檔,華語詞義,例句,例句音檔,翻譯,備註,詞性1,詞性2,分類
11-28,駛, siiˊ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-11-028.mp3,駕駛、開（車）,"阿爸係駛計程車个
你係愛用車，做得借你駛",https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-11-028s.mp3,"爸爸是開計程車的。
你如果要用車，可以借你開。",,動詞,,11通訊、建設與交通
11-29,市,shi+ ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-11-029.mp3,市,臺南市,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-11-029s.mp3,臺南市。,,名詞,,11通訊、建設與交通
11-30,船仔,shon er,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-11-030.mp3,船,高雄港有當多船仔,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-11-030s.mp3,高雄港有很多船。,,名詞,,11通訊、建設與交通
11-31,手機,shiuˊgiˋ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-11-031.mp3,手機,緊搞手機，目珠會壞忒！,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-11-031s.mp3,一直玩手機，眼睛會壞掉！,,名詞,,11通訊、建設與交通
11-32,電話,tien+ faˇ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-11-032.mp3,電話,有事情就打電話分阿銘,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-11-032s.mp3,有事情就打電話給阿銘。,,名詞,,11通訊、建設與交通
11-33,電腦,tien+  noˊ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-11-033.mp3,電腦,搞電腦,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-11-033s.mp3,玩電腦。,,名詞,,11通訊、建設與交通
11-34,電梯,tien+ toiˋ,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-11-034.mp3,電梯,你个東西恁多，坐電梯較省力,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-11-034s.mp3,你的東西那麼多，坐電梯比較省力。,,名詞,,11通訊、建設與交通
11-35,機車(奧多拜),giˋ chaˋ(o do baiˋ),https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-11-035.mp3,機車,騎機車,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-11-035s.mp3,騎機車。,,名詞,,11通訊、建設與交通
12-1,賺,con+,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-12-001.mp3,賺,經濟毋好，賺毋着來食,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-12-001s.mp3,經濟差，很難賺錢維生。,,動詞,,12職業與經濟
12-2,賺錢,con+ cien,https://wiki.hakka.gov.tw/file/107/1/ha/w/ha-12-002.mp3,賺錢,賺錢賺毋着來使,https://wiki.hakka.gov.tw/file/107/1/ha/s/ha-12-002s.mp3,賺錢賺得不夠花。,,動詞,,12職業與經濟
