編號,客家語,客語標音,客語音檔,華語詞義,例句,例句音檔,翻譯,備註,詞性1,詞性2,分類
1-32,鼻,pinn,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-032.mp3,鼻子,鼻塞塞,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-032s.mp3,鼻子塞住。,,名詞,,1人體與醫療
1-33,耳子,ngi^ zu^,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-033.mp3,耳朵,佢耳子無利，你講事愛較大聲兜,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-033s.mp3,他耳朵重聽，你講話要大聲一點。,,名詞,,1人體與醫療
1-34,嘴,zhe^,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-034.mp3,嘴巴,"佢个嘴真大，會用一口食半碗飯
佢食墨斗魚，食到嘴烏烏",https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-034s.mp3,"他的嘴巴很大，可以一口吃半碗飯。
他吃烏賊，吃到嘴巴黑黑的。",,名詞,,1人體與醫療
1-35,牙,ngaˋ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-035.mp3,牙齒,"牙疾，愛去得先生䀴
嬰仔正發牙。",https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-035s.mp3,"牙齒痛，要去給醫生看。
嬰兒剛長牙齒。",,名詞,,1人體與醫療
1-36,舌,sheedˋ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-036.mp3,舌頭,"緊張到舌打結
好食到舌攏會吞落去",https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-036s.mp3,"緊張到舌頭打結。
好吃到快把舌頭吞下去。",,名詞,,1人體與醫療
1-37,口涎水,keu^ lanˇ fi^,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-037.mp3,口水,口涎水溚溚汀,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-037s.mp3,口水一直滴。,,名詞,,1人體與醫療
1-38,面,mien^,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-038.mp3,臉,晨早起來愛洗牙洗面,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-038s.mp3,早上起床要刷牙洗臉。,,名詞,,1人體與醫療
1-39,頸,giang^,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-039.mp3,脖子,這禮拜逐日加班，感覺頸硬硬,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-039s.mp3,這星期每天加班，感覺脖子僵硬。,,名詞,,1人體與醫療
1-40,肩頭,geenˇ teuˋ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-040.mp3,肩膀,感覺肩頭硬硬个款,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-040s.mp3,覺得肩膀緊繃的樣子。,,名詞,,1人體與醫療
1-41,背脊骿,bue^ ziaˊ piangˇ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-041.mp3,背部,爪背脊骿,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-041s.mp3,抓背。,,名詞,,1人體與醫療
1-42,手,shiu^,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-042.mp3,手,阿怙牽着𠊎个手,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-042s.mp3,爸爸牽著我的手。,,名詞,,1人體與醫療
1-43,手指頭,shiu^ zhi^ teuˋ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-043.mp3,手指,阿嫂手指頭得刀切着，直直流血,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-043s.mp3,嫂嫂手指被刀子切到，一直流血。,,名詞,,1人體與醫療
1-44,食肚,shidˋ du^,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-044.mp3,肚子,食着無淨俐个物件，食肚疾直直走便所,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-044s.mp3,吃到不乾淨的食物，肚子痛一直跑廁所。,,名詞,,1人體與醫療
1-45,腹臍,buˊ ciˋ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-045.mp3,肚臍,,,,,名詞,,1人體與醫療
1-46,屎朏,shi^ fudˊ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-046.mp3,屁股,日頭炙屎朏，好起來啊！,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-046s.mp3,太陽晒屁股，該起來了。,,名詞,,1人體與醫療
1-47,腳,giooˊ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-047.mp3,腳,洗膴身遐下腳愛洗淨俐。,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-047s.mp3,"洗澡時腳要洗乾淨。
",,名詞,數/量詞,1人體與醫療
1-48,腳指頭,giooˊ zhi^ teuˋ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-048.mp3,腳趾,,,,,名詞,,1人體與醫療
1-49,身體,shinˇ te^,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-049.mp3,身體,阿依企傷久，身體拄毋會核啊！,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-049s.mp3,媽媽站太久，身體撐不住。,,名詞,,1人體與醫療
1-50,心肝,simˇ gonˇ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-050.mp3,心臟,佢驚到心肝直跳,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-050s.mp3,他嚇得心跳加速。,,名詞,,1人體與醫療
1-51,腸,chongˋ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-051.mp3,腸子,,,,,名詞,,1人體與醫療
1-52,骨頭,gudˊ teuˋ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-052.mp3,骨頭,佢跌倒，骨頭斷去,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-052s.mp3,他跌倒，骨頭斷了。,,名詞,,1人體與醫療
1-53,人,nginˋ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-01-053.mp3,人,厥屋下有五個人,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-01-053s.mp3,他家有五個人,,名詞,,1人體與醫療
2-1,飽,bau^,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-001.mp3,飽,食飽夜來去散步好無？,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-001s.mp3,吃完晚餐後去散步好嗎？,,形容詞,,2心理活動與感覺
2-2,拚,biang^,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-002.mp3,賣力、拼,肯拚即會出頭天,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-002s.mp3,肯打拼就會出頭天。,,動詞,,2心理活動與感覺
2-3,發夢,budˊ mong,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-003.mp3,做夢,昨暗夜發夢疶尿，真見笑,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-003s.mp3,昨天晚上做夢尿床，很丟臉。,,動詞,,2心理活動與感覺
2-4,插,cabˊ ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-004.mp3,插；理會,"花盎插一蕊花
停動着即受氣，莫插佢！",https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-004s.mp3,"花瓶插著一朵花。
動不動就生氣，不要理他！",,動詞,,2心理活動與感覺
2-5,感覺,gam^ gooˊ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-005.mp3,認為、覺得,𠊎感覺這個麵包真好食,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-005s.mp3,我覺得這個麵包很好吃。,,動詞,,2心理活動與感覺
2-6,著驚,choo giangˇ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-006.mp3,受驚嚇,佢喊恁大聲，害𠊎著驚,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-006s.mp3,他喊那麼大聲，害我受驚。,,動詞,,2心理活動與感覺
2-7,知,diˇ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-007.mp3,知道,後禮拜愛考試，你知無？,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-007s.mp3,下星期要考試，你知道嗎？,,動詞,,2心理活動與感覺
2-8,起性地,ki^ sin^ ti,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-008.mp3,發怒,佢自家走出去尞歸日，阿依起性地啊！,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-008s.mp3,他自己出去玩一天，媽媽生氣了！,,動詞,,2心理活動與感覺
2-9,歡喜,fanˇ hi^,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-009.mp3,歡喜,買個等路送佢，得佢歡喜一下,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-009s.mp3,買個伴手禮送他，讓他高興一下。,,名詞,,2心理活動與感覺
2-10,安心,onˇ simˇ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-010.mp3,放心,心肝底毋會安心,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-010s.mp3,心裡不放心。,,形容詞,,2心理活動與感覺
2-11,敢,gam^,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-011.mp3,敢；有膽量、不畏懼,"暗夜時自家去便所，敢抑毋敢？
佢遐支嘴真敢講",https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-011s.mp3,"晚上自己去廁所，敢不敢？
他那張嘴很敢講。",,動詞,形容詞,2心理活動與感覺
2-12,感覺,gam^ gooˊ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-012.mp3,感覺,"你講佢怪怪？𠊎即感覺毋會出。
轉寒啊！你無感覺係無？",https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-012s.mp3,"你說他怪怪的？我可感覺不出來。
變冷了！你不覺得嗎？",,動詞,,2心理活動與感覺
2-13,記得,ki^ dedˊ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-013.mp3,記得,恁久無來，你猶記得路無？,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-013s.mp3,這麼久沒來，你還記得路嗎？,,動詞,,2心理活動與感覺
2-14,紀念,gi^ neem ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-014.mp3,紀念,這物件真有紀念價值。,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-014s.mp3,這東西很有紀念價值。,,動詞,,2心理活動與感覺
2-15,驚,giangˇ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-015.mp3,害怕,佢真驚蛇,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-015s.mp3,他很怕蛇。,,動詞,,2心理活動與感覺
2-16,見笑,gien^ sioo^,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-016.mp3,不好意思；慚愧,"佢滿哪位借錢，感覺真見笑
得先生罵猶直直笑，毋知見笑。",https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-016s.mp3,"他到處借錢，覺得很不好意思。
被老師罵還一直笑，不知羞恥。",,動詞,,2心理活動與感覺
2-17,緊張,gin^ zhongˇ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-017.mp3,緊張,"毋使恁緊張。
緊張到舌打結",https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-017s.mp3,"不用那麼緊張。
緊張到舌頭打結。",,副詞,,2心理活動與感覺
2-18,愛,oi^,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-018.mp3,喜好、喜歡,阿公頭愛食腹內,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-018s.mp3,祖父最喜歡吃內臟。,,動詞,,2心理活動與感覺
2-19,恨,hin,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-019.mp3,恨,這種無責無任个人，你恨佢嘛無效！,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-019s.mp3,這種毫無責任感的人，你恨他也沒用！,,動詞,,2心理活動與感覺
2-20,福氣（幸福）,fuˊ ki^ (hen fuˊ),https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-020.mp3,幸福,佢過到真福氣个日。,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-020s.mp3,他過著很幸福的日子。,,形容詞,,2心理活動與感覺
2-21,肯,ken^,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-021.mp3,肯、願意,這擺旅行，你阿依肯得你去無？,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-021s.mp3,這次旅行，你媽肯讓你去嗎？,,動詞,,2心理活動與感覺
2-22,希望,hiˇ mong,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-022.mp3,希望,"新年新希望
希望你尋着好頭路",https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-022s.mp3,"新年新希望。
希望你找到好工作。",,動詞,,2心理活動與感覺
2-23,興趣,hin^ ci^,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-023.mp3,興趣,佢對數學真有興趣,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-023s.mp3,他對數學很有興趣。,,名詞,,2心理活動與感覺
2-24,精神,zinˇ shinˋ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-024.mp3,精神,"䀴起來真有精神
歸暗無睡，佢精神足無好",https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-024s.mp3,"看起來很有精神。
整晚沒睡，他精神很不好。",,形容詞,名詞,2心理活動與感覺
2-25,輕鬆,kiangˇ sungˇ,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-025.mp3,輕鬆,佢个頭路真輕鬆,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-025s.mp3,他的工作很輕鬆。,,形容詞,,2心理活動與感覺
2-26,氣,ki^,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-026.mp3,生氣,"阿弟毋聽事，阿依真氣
佢面臭臭，毋知在氣麼个？",https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-026s.mp3,"弟弟不聽話，媽媽很生氣。
他的臉色不好，不知道在生氣什麼？",,形容詞,動詞,2心理活動與感覺
2-27,確定,kooˊ ten,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-027.mp3,明確而肯定,你愛先確定正拁𠊎講,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-027s.mp3,你要先確定再跟我說。,,動詞,,2心理活動與感覺
2-28,散,san^,https://wiki.hakka.gov.tw/file/107/1/zh/w/zh-02-028.mp3,窮苦,佢个屋下真散,https://wiki.hakka.gov.tw/file/107/1/zh/s/zh-02-028s.mp3,他的家裡很貧窮。,,形容詞,,2心理活動與感覺
