編號,客家語,客語標音,客語音檔,華語詞義,例句,例句音檔,翻譯,備註,詞性1,詞性2,分類
12-23,銀行,ngiun hong【ngiunˋhongˋ】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-12-023.mp3,銀行,臺灣銀行,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-12-023s.mp3,臺灣銀行,,名詞,,12職業與經濟
12-24,辦公室,panˊ gungˇ shidˋ【pan gungˇsidˋ/pan  gungˇ siidˋ】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-12-024.mp3,辦公室,辦公室尖二十儕，強強會無路好行。,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-12-024s.mp3,辦公室擠了二十個人，幾乎沒有路可以走。,,名詞,,12職業與經濟
12-25,票,piauˋ【piau^】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-12-025.mp3,票,"車票愛袋好，毋見忒（毋見撇／毋見忒）就麻煩咧
你个電影票放哪去咧?",https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-12-025s.mp3,"車票要放好，不見就麻煩了！
你的電影票放到哪裡了？",,名詞,,12職業與經濟
12-26,便宜,pien ngi【penˋngiˋ/pienˋ ngiˋ】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-12-026.mp3,便宜,"玻璃菜（高麗菜／玻璃菜）大出，十分便宜
便宜無好貨",https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-12-026s.mp3,"高麗菜正盛產，非常便宜。
便宜沒好貨",,形容詞,,12職業與經濟
12-27,請假,ciangˋ gaˋ【ciang^ ga^】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-12-027.mp3,請假,下禮拜一請假,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-12-027s.mp3,下禮拜一請假,,動詞,,12職業與經濟
12-28,事,sheˊ【se】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-12-028.mp3,工作,阿叔去田項做田事,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-12-028s.mp3,叔叔去田裡耕作。,,名詞,,12職業與經濟
12-29,生理,senˇ liˇ,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-12-029.mp3,生意,頭家當笑面，生理一等好,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-12-029s.mp3,老闆笑容滿面，生意非常好。,,名詞,,12職業與經濟
12-30,市場,shiˊ chong【si congˋ/sii  congˋ】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-12-030.mp3,市場,市場肚，麼个都賣,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-12-030s.mp3,市場裡，什麼都賣。,,名詞,,12職業與經濟
12-31,司機,siiˇ giˇ,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-12-031.mp3,司機,佢請司機駛車載佢去飯店,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-12-031s.mp3,他請司機開車載他去飯店。,,名詞,,12職業與經濟
12-32,算,sonˋ【son^】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-12-032.mp3,算、數數,"算毋和
算毋著",https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-12-032s.mp3,"不划算
算錯",,動詞,,12職業與經濟
12-33,上班,shongˇbanˇ【songˇbanˇ】,https://wiki.hakka.gov.tw/file/107/1/rh/w/rh-12-033.mp3,上班,打早就愛上班，還悿！,https://wiki.hakka.gov.tw/file/107/1/rh/s/rh-12-033s.mp3,一大早就要上班，很累！,,動詞,,12職業與經濟
