編號,客家語,客語標音,客語音檔,華語詞義,例句,例句音檔,翻譯,備註,詞性1,詞性2,分類
1-34,有身,rhiuˇ shinˇ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-034.mp3,有身孕、懷孕,有身啊，愛細義。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-034s.mp3,懷孕了，要小心。,,動詞,,1人體與醫療
1-35,撿細子,giamˆ se^ zu^ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-035.mp3,接生,產婆會拁人撿細子。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-035s.mp3,產婆會幫人接生。,,動詞,,1人體與醫療
1-36,擎起來,kiaˋ ki^ loiˋ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-036.mp3,發作,天氣一變，風溼即擎起來。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-036s.mp3,天氣一變，風溼就發作。,,動詞,,1人體與醫療
1-37,手脅下,shiu^ hiabˊ haˇ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-037.mp3,腋下,𠊎熱到手脅下直直流汗,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-037s.mp3,我熱得腋下一直流汗,,名詞,,1人體與醫療
1-38,吸收,kibˊ shiuˇ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-038.mp3,吸收,阿弟个胃腸吸收功能真䆀。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-038s.mp3,弟弟的腸胃吸收功能很差。,,動詞,,1人體與醫療
1-39,拳頭嫲,kunˋ teuˋ maˋ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-039.mp3,拳頭,揢着拳頭嫲，忍个毋敢唩。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-039s.mp3,握緊拳頭，忍住不敢哭。,,名詞,,1人體與醫療
1-40,近視,kunˇ shi,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-040.mp3,近視,恁細即近視戴目鏡，驚會愈來愈深。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-040s.mp3,那麼小就近視戴眼鏡，恐怕會越來越深。,,動詞,,1人體與醫療
1-41,大食肚,tai shidˋ du^ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-041.mp3,懷孕,䀴着大食肚个人，愛讓位得佢坐。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-041s.mp3,看到懷孕的人，要讓位給她坐。,,動詞,,1人體與醫療
1-42,龍骨,liungˋ gudˊ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-042.mp3,脊椎,龍骨生骨刺,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-042s.mp3,脊椎長骨刺,,名詞,,1人體與醫療
1-43,無堵好,moˋ du^ hoo^ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-043.mp3,不舒服,佢寒着，身體無堵好。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-043s.mp3,他感冒，身體不舒服。,,形容詞,,1人體與醫療
1-44,嘴䫌（面頰卵）,zhe^ pe^ (mien^ gabˊ lon^) ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-044.mp3,臉頰,阿弟嘴䫌面上黏着飯粒。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-044s.mp3,弟弟的臉頰上黏著飯粒。,,名詞,,1人體與醫療
1-45,病,piang,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-045.mp3,毛病,佢這係舊病，真多年啊。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-045s.mp3,他這是老毛病，好多年了。,,名詞,,1人體與醫療
1-46,目眉,hmˊ niˋ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-046.mp3,眉毛,目眉彎彎,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-046s.mp3,眉毛彎彎,,名詞,,1人體與醫療
1-47,目珠茫茫,mudˊ zhiˇ mongˋ mongˋ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-047.mp3,視線模糊,佢逐日䀴電腦，䀴到目珠茫茫。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-047s.mp3,他每天看電腦，看到視線模糊。,,形容詞,,1人體與醫療
1-48,乳,neenˇ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-048.mp3,奶,食乳,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-048s.mp3,喝奶,,名詞,,1人體與醫療
1-49,重耳空（背耳）,chungˇ ngi^ kungˇ (pue ngi^) ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-049.mp3,聽覺不靈敏、耳背,佢仰子恁少年即重耳空，老啊愛仰子正好？,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-049s.mp3,他怎麼那麼年輕就耳背，老了要怎麼辦？,,形容詞,,1人體與醫療
1-50,額頭,ngiaˊ teuˋ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-050.mp3,額頭,阿弟个額頭摸起來小可燒燒，驚係寒着啊。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-050s.mp3,弟弟額頭摸起來有點燙燙的，恐怕是感冒了。,,名詞,,1人體與醫療
1-51,入院,ngibˋ innˇ ,https://wiki.hakka.gov.tw/file/107/2/zh/w/1zh-01-051.mp3,住院,佢上個月車禍入院。,https://wiki.hakka.gov.tw/file/107/2/zh/s/1zh-01-051s.mp3,他上個月車禍住院。,,動詞,,1人體與醫療
