編號,客家語,客語標音,客語音檔,華語詞義,例句,例句音檔,翻譯,備註,詞性1,詞性2,分類
4-111,躪,nang,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-111.mp3,踩踏,無細義躪着人，愛會失禮。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-111s.mp3,不小心踩到別人，要道歉。,,動詞,,外在活動與動作
4-112,捏,nedˋ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-112.mp3,捏,"捏嘴角。
捏人當（蓋）痛。",https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-112s.mp3,"捏嘴角。
捏人很痛。",,動詞,,外在活動與動作
4-113,撓【肢】,neuˊ【ji】 ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-113.mp3,搔癢,"毋好緊撓（肢）人。
阿姆腳底毋驚撓（肢）。",https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-113s.mp3,"不要一直搔別人癢。
媽媽腳底板不怕癢。",,動詞,,外在活動與動作
4-114,齧,ngadˋ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-114.mp3,咬,這梨仔分老鼠仔齧一口。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-114s.mp3,這梨子被老鼠咬一口。,,動詞,,外在活動與動作
4-115,念,ngiam ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-115.mp3,叨念；誦讀,"阿姊半夜正轉（歸），阿姆念毋會煞。
念三字經。",https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-115s.mp3,"姊姊半夜才回家，媽媽叨念不停。
朗讀三字經。",,動詞,,外在活動與動作
4-116,入,ngib ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-116.mp3,入；裝入,"無帶着鎖匙，入門毋得。
菜脯晒到（晒啊）燥水吔，愛入到玻璃盎仔項保存。",https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-116s.mp3,"沒帶鑰匙，進不了門。
蘿蔔乾晒乾了，要裝進玻璃瓶裡保存。",,動詞,,外在活動與動作
4-117,揉,ngioˊ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-117.mp3,搓揉,"揉到（啊）皺皺。
揉爛忒（爛核）。",https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-117s.mp3,"搓揉到皺皺的。
揉爛了。",,動詞,,外在活動與動作
4-118,挼,noˇ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-118.mp3,搓捏；藉著他物摩擦，使物品光滑,挼雪圓仔（圓粄仔）。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-118s.mp3,搓湯圓。,,動詞,,外在活動與動作
4-119,蠕蠕動（蠕蠕鑽）,nugˋ nugˋ tungˊ (nugˋ nugˋ zon),https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-119.mp3,蠕動,老弟坐毋核，緊蠕蠕動。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-119s.mp3,弟弟坐不住，一直蠕動。,,動詞,,外在活動與動作
4-120,弄,nung,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-120.mp3,把玩,弄細人仔。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-120s.mp3,逗弄小孩子。,,名詞,動詞,外在活動與動作
4-121,安,onˊ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-121.mp3,安裝；設置；定名,"安冷氣。
安名仔。",https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-121s.mp3,"安裝冷氣。
取名字。",,動詞,,外在活動與動作
4-122,安排,onˊ paiˇ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-122.mp3,安排,安排到（啊）盡妥當（蓋穩當）。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-122s.mp3,安排得很妥當。,,動詞,,外在活動與動作
4-123,划,paˇ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-123.mp3,划、撥進來,划龍船。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-123s.mp3,划龍船。,,動詞,,外在活動與動作
4-124,拔,pad,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-124.mp3,輕輕拍打,"天時恁好，被骨拿去外背拔拔啊。
拔塵灰。
在眠帳裡肚（裡背）拔蚊仔。",https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-124s.mp3,"天氣那麼好，棉被拿去外面拍一拍。
拍灰塵。
在蚊帳裡打蚊子。",,動詞,,外在活動與動作
4-125,撥,padˋ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-125.mp3,搧,遽啊來𢯭撥火。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-125s.mp3,快來幫忙搧火。,,動詞,,外在活動與動作
4-126,潑水,padˋ suiˋ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-126.mp3,將水潑出去,潑水潑到地泥項。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-126s.mp3,潑水潑到地板上。,,動詞,,外在活動與動作
4-127,刨,pauˇ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-127.mp3,刨,"刨蘿蔔皮。
刨菜瓜。
刨枋仔。",https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-127s.mp3,"刨蘿蔔皮。
刨菜瓜。
刨木板。",,動詞,,外在活動與動作
4-128,破,po,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-128.mp3,剖分,"西瓜對半破。
破樵。",https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-128s.mp3,"西瓜對半剖分。
對半砍木柴。",,動詞,,外在活動與動作
4-129,碰門,pongˊ munˇ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-129.mp3,用力敲門,麼人在該碰門？,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-129s.mp3,誰在那裡用力敲門？,,動詞,,外在活動與動作
4-130,撒,saˋ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-130.mp3,撒,撒兜仔鹽。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-130s.mp3,撒一點鹽。,,動詞,,外在活動與動作
4-131,徙（搬、搬徙）,saiˋ (banˊ、banˊ saiˋ),https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-131.mp3,搬遷,"徙走。
貓徙竇。",https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-131s.mp3,"搬走。
母貓生小貓後，若是發現環境對小貓有危險就馬上將小貓銜至較安全處；用以比喻一個人在生活或工作上不甚穩定，常有調動。",,動詞,,外在活動與動作
4-132,閃,samˋ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-132.mp3,閃、躲避、避讓,"閃開。
相閃車。",https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-132s.mp3,"閃開。
會車。",,動詞,,外在活動與動作
4-133,洗盪（洗揫）,seˋ tongˊ (seˋ qiuˊ),https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-133.mp3,清洗,頭擺當（蓋）多人用圳溝水洗盪。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-133s.mp3,從前很多人用圳溝水清洗東西。,,動詞,,外在活動與動作
4-134,舐,seˊ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-134.mp3,舔,舐淨來。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-134s.mp3,舔乾淨。,,動詞,,外在活動與動作
4-135,食毒,siid tug,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-135.mp3,吸毒,好个毋學，學人食毒！,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-135s.mp3,好的不學，學別人吸毒！,,動詞,,外在活動與動作
4-136,傷害,songˊ hoi,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-136.mp3,傷害,這件事對佢傷害盡大。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-136s.mp3,這件事對他傷害很大。,,動詞,,外在活動與動作
4-137,𢱤,sungˋ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-137.mp3,用手推,"𢱤車仔。
佢當（蓋）無責任，輒輒同事𢱤分別人做。",https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-137s.mp3,"推車子。
他很沒責任感，常常把工作推給別人做。",,動詞,,外在活動與動作
4-138,踏,tab,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-138.mp3,踏,"分人踏着，當（蓋）痛。
踏上踏下。",https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-138s.mp3,"被人踩到，很痛。
踏上踏下。",,動詞,,外在活動與動作
4-139,探,tamˋ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-139.mp3,探,先去探看啊。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-139s.mp3,先去探聽看看。,,動詞,,外在活動與動作
4-140,毒,teu,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-140.mp3,以毒藥毒殺人或動物,毒老鼠。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-140s.mp3,毒殺老鼠。,,動詞,,外在活動與動作
4-141,投,teuˇ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-141.mp3,投；告狀,"投籃。
動啊着就講愛投阿爸。",https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-141s.mp3,"投籃。
動不動就說要向爸爸告狀。",,動詞,,外在活動與動作
4-142,疊,tiab,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-142.mp3,疊,摎（同）紙疊起來。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-142s.mp3,把紙疊起來。,,動詞,數/量詞,外在活動與動作
4-143,停動,tinˇ tungˊ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-143.mp3,動,企等，莫緊停動。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-143s.mp3,站著，不要一直動。,,動詞,,外在活動與動作
4-144,托等,togˋ denˋ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-144.mp3,托著,紙袋仔底下愛用手托等，正毋會塌底。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-144s.mp3,紙袋底下要用手托著，底部才不會塌掉。,,動詞,,外在活動與動作
4-145,塗改,tuˇ goiˋ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-145.mp3,塗改,寫落去就做毋得塗改。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-145s.mp3,寫下去就不能塗改。,,動詞,,外在活動與動作
4-146,吞,tunˊ ,https://wiki.hakka.gov.tw/file/107/2/si/w/1si-04-146.mp3,吞,吞落去。,https://wiki.hakka.gov.tw/file/107/2/si/s/1si-04-146s.mp3,吞下去。,,動詞,,外在活動與動作
